NUMBER,SENTENCE,ACTUAL_VALUE,PREDICTED_VALUE
1820,"All the adverse consequences resulted from such Unauthorized Use shall be borne by you.",0,0
1821,"If you become aware of any unauthorized use of the Services or your account, or have any questions about your account please contact Box Support via our Box Community Page.",0,0
1822,"Our Personal Data Protection Notice governs the use of any personal information that you provide to us via the Website.",0,0
1823,"Parties.",0,0
1824,"If required by Law, Zoom will issue a VAT invoice, or a document that the relevant taxing authority will treat as a VAT invoice, to You.",0,0
1825,"We provide our Business Services solely for your business or commercial use.",0,0
1826,"The Content made available for download on the Service under the Pexels-License (""Pexels Content"") is marked with the reference ""Pexels License"" next to the respective picture / content.",0,0
1827,"14. TERMINATION",0,0
1828,"Notwithstanding the foregoing, we may access Content to determine how we can improve our Service, and to determine customer satisfaction.",1,1
1829,"Cancellations, Travel Issues, and Booking Modifications.",0,0
1830,"Certain features of the Service may require you to pay fees, such as the purchase of 9GAG Pro on the App.",0,1
1831,"The cancellation will take effect the day after the last day of the current subscription period, and you will be downgraded to the free version of the Spotify Service.",0,0
1832,"In the event that User provides Moovit with any suggestions, comments or other feedback relating to Site, Service and/or Public Transit Information (collectively, “Feedback”), such Feedback is deemed at the incipiency the sole and exclusive property of Moovit and User hereby irrevocably assigns to Moovit all of its rights, title and interest in and to all Feedback, if any, and waives any moral rights to it (or anyone on its behalf) may have in such Feedback.",3,1
1833,"Your license to use the online services.",0,0
1834,"We use your personal data, such as information about your activity and interests, to show you ads that are more relevant to you.",0,0
1835,"If you receive free or promotional credits, we may expire them at any time.",1,1
1836,"You can access features through the Service that allow you to book or transact online with local businesses, such as making restaurant or spa reservations, ordering food delivery, or scheduling appointments.",1,0
1837,"During use of the Service, you may enter into correspondence or transactions with third parties who display or offer their goods and/or service through the Platform.",1,1
1838,"Learn more about how Facebook ads work here.",0,0
1839,"EA DOES NOT WARRANT OR GUARANTEE ANY THIRD-PARTY PRODUCT OR SERVICE OFFERED VIA THE EA APP STORE.",0,0
1840,"You must be a human to create an Account.",3,0
1841,"Some jurisdictions do not allow limitations of liability, so the foregoing limitation may not apply to you.",0,1
1842,"Accepting the terms and conditions",0,0
1843,"Except in accordance with Yelp’s Verified License program, Yelp does not attempt to verify any licenses a local business or its representatives may have, and consumers should inquire about any such licenses with the business directly.",3,1
1844,"Access to and use of the contents and services provided on the Site shall be subject to the Privacy Statement and these Terms.",0,0
1845,"Without limiting the foregoing, you acknowledge that the Software and the Service and the inventions, know-how and methodology embodied therein are proprietary to, and contain valuable trade secrets of, Grammarly and its affiliates and licensors, as applicable, and that the Software constitutes Confidential Information of Grammarly.",3,3
1846,"You acknowledge and agree that we may generate revenues, increase goodwill or otherwise increase our value from your use of the Application, including, but not limited to, through the sale of advertising, sponsorships, promotions, usage data.",3,1
1847,"Reface is not responsible for maintaining any materials referenced from another website, and makes no warranties for that website or respective service.",0,0
1848,"The terms of your payment will be based on your Payment Method and may be determined by agreements between you and the financial institution, debit card issuer or other provider of your chosen Payment Method.",0,1
1849," User Content Some areas of the Service may allow Users to upload, publish, display, link to or otherwise make available (hereinafter, ""post"") reviews, comments, questions, highlights, and other information including Users’ names, voices and likenesses (""User Content"").",1,1
1850,"You agree to indemnify us, defend us, and hold us harmless from and against any and all claims, liabilities, and expenses, including attorneys’ fees, arising out of your use of the Website and the Service, including but not limited to your violation of this Agreement, provided that GitHub (1) promptly gives you written notice of the claim, demand, suit or proceeding; (2) gives you sole control of the defense and settlement of the claim, demand, suit or proceeding (provided that you may not settle any claim, demand, suit or proceeding unless the settlement unconditionally releases GitHub of all liability); and (3) provides to you all reasonable assistance, at your expense.",3,2
1851,"By visiting our website, installing and/or using the Services, you acknowledge that you have read the Terms, understand them and agree to be bound by these Terms.",3,3
1852,"If your account has been suspended, you must contact us for further information.",3,0
1853,"You understand and agree that bilibili is unable to guarantee that third parties will not intercept data transmitted over the Internet. ",3,0
1854,"Fraud or abuse of redemptions may result in the forfeiture of accumulated Points as well as cancellation of your membership in the GrabRewards Loyalty Programme.",0,1
1855,"Location",0,0
1856,"Users shall guarantee the Company that the contents or information provided by the Users while using the Service are free from de facto or legal flaws and shall not violate any right of third parties.",3,0
1857,"The indemnity obligation includes the reasonable costs of legal defence, in particular lawyer's fees, necessary to defend against such claims.",3,0
1858,"In the event of termination of your subscription for cause due to default by Canva, Canva shall refund, on a prorated basis, any prepaid fees for the Service for the period beginning on the effective date of termination through the end of your then-current subscription.",3,3
